network_id,type,subtype,id_pair,species_1,label_1,degree_1,species_2,label_2,degree_2,number_sp_label_1,number_sp_label_2,connected,normalized_degree_sp_1,normalized_degree_sp_2,network_connectance,sum_1,sum_2,sum_shared
A_HP_040,A,HostParasite,2717,"Allactaga elater",Host,1,"Nosopsyllus laeviceps",Parasite,2,8,18,0,0.0556,0.25,0.194,2,585,0
A_HP_010,A,HostParasite,2697,"Allactaga elater",Host,9,"Ophthalmopsylla volgensis",Parasite,7,18,31,1,0.2903,0.3889,0.158,253,77,37
A_HP_013,A,HostParasite,2697,"Allactaga elater",Host,10,"Ophthalmopsylla volgensis",Parasite,7,11,22,1,0.4545,0.6364,0.426,285,80,8
A_HP_046,A,HostParasite,2697,"Allactaga elater",Host,20,"Ophthalmopsylla volgensis",Parasite,4,17,39,1,0.5128,0.2353,0.305,1302,69,15
A_HP_006,A,HostParasite,2697,"Allactaga elater",Host,2,"Ophthalmopsylla volgensis",Parasite,2,16,37,0,0.0541,0.125,0.208,13,5,0
A_HP_013,A,HostParasite,2720,"Allactaga elater",Host,10,"Oropsylla ilovaiskii",Parasite,7,11,22,1,0.4545,0.6364,0.426,285,870,1
A_HP_029,A,HostParasite,2720,"Allactaga elater",Host,4,"Oropsylla ilovaiskii",Parasite,3,15,34,1,0.1176,0.2,0.155,104,1193,2
A_HP_006,A,HostParasite,2720,"Allactaga elater",Host,2,"Oropsylla ilovaiskii",Parasite,2,16,37,0,0.0541,0.125,0.208,13,712,0
A_HP_042,A,HostParasite,2720,"Allactaga elater",Host,2,"Oropsylla ilovaiskii",Parasite,1,21,32,0,0.0625,0.0476,0.125,8,3,0
A_HP_046,A,HostParasite,2869,"Allactaga elater",Host,20,"Paradoxopsyllus repandus",Parasite,5,17,39,1,0.5128,0.2941,0.305,1302,6411,7
A_HP_010,A,HostParasite,2869,"Allactaga elater",Host,9,"Paradoxopsyllus repandus",Parasite,1,18,31,0,0.2903,0.0556,0.158,253,2,0
A_HP_013,A,HostParasite,2869,"Allactaga elater",Host,10,"Paradoxopsyllus repandus",Parasite,1,11,22,0,0.4545,0.0909,0.426,285,3,0
A_HP_040,A,HostParasite,2869,"Allactaga elater",Host,1,"Paradoxopsyllus repandus",Parasite,1,8,18,0,0.0556,0.125,0.194,2,1507,0
A_HP_013,A,HostParasite,2722,"Allactaga elater",Host,10,"Rhadinopsylla cedestis",Parasite,6,11,22,1,0.4545,0.5455,0.426,285,1144,1
A_HP_046,A,HostParasite,2722,"Allactaga elater",Host,20,"Rhadinopsylla cedestis",Parasite,9,17,39,1,0.5128,0.5294,0.305,1302,12219,10
A_HP_006,A,HostParasite,2722,"Allactaga elater",Host,2,"Rhadinopsylla cedestis",Parasite,3,16,37,0,0.0541,0.1875,0.208,13,10,0
A_HP_010,A,HostParasite,2722,"Allactaga elater",Host,9,"Rhadinopsylla cedestis",Parasite,1,18,31,0,0.2903,0.0556,0.158,253,12,0
A_HP_029,A,HostParasite,2722,"Allactaga elater",Host,4,"Rhadinopsylla cedestis",Parasite,2,15,34,0,0.1176,0.1333,0.155,104,4,0
A_HP_040,A,HostParasite,2722,"Allactaga elater",Host,1,"Rhadinopsylla cedestis",Parasite,1,8,18,0,0.0556,0.125,0.194,2,74,0
A_HP_010,A,HostParasite,2700,"Allactaga elater",Host,9,"Xenopsylla conformis",Parasite,5,18,31,1,0.2903,0.2778,0.158,253,360,3
A_HP_046,A,HostParasite,2700,"Allactaga elater",Host,20,"Xenopsylla conformis",Parasite,12,17,39,1,0.5128,0.7059,0.305,1302,79362,76
A_HP_006,A,HostParasite,2700,"Allactaga elater",Host,2,"Xenopsylla conformis",Parasite,1,16,37,0,0.0541,0.0625,0.208,13,12,0
A_HP_013,A,HostParasite,2700,"Allactaga elater",Host,10,"Xenopsylla conformis",Parasite,3,11,22,0,0.4545,0.2727,0.426,285,87,0
A_HP_038,A,HostParasite,2700,"Allactaga elater",Host,2,"Xenopsylla conformis",Parasite,5,10,20,0,0.1,0.5,0.26,29,2137,0
A_HP_040,A,HostParasite,2700,"Allactaga elater",Host,1,"Xenopsylla conformis",Parasite,4,8,18,0,0.0556,0.5,0.194,2,204,0
A_HP_010,A,HostParasite,2701,"Allactaga elater",Host,9,"Xenopsylla gerbilli",Parasite,2,18,31,1,0.2903,0.1111,0.158,253,621,2
A_HP_046,A,HostParasite,2701,"Allactaga elater",Host,20,"Xenopsylla gerbilli",Parasite,12,17,39,1,0.5128,0.7059,0.305,1302,282554,103
A_HP_040,A,HostParasite,2701,"Allactaga elater",Host,1,"Xenopsylla gerbilli",Parasite,2,8,18,0,0.0556,0.25,0.194,2,26659,0
A_HP_013,A,HostParasite,2723,"Allactaga elater",Host,10,"Xenopsylla skrjabini",Parasite,9,11,22,1,0.4545,0.8182,0.426,285,107110,97
A_HP_010,A,HostParasite,2723,"Allactaga elater",Host,9,"Xenopsylla skrjabini",Parasite,2,18,31,0,0.2903,0.1111,0.158,253,2205,0
A_HP_010,A,HostParasite,2689,"Allactaga major",Host,3,"Ctenophthalmus arvalis",Parasite,10,18,31,1,0.0968,0.5556,0.158,61,66,2
A_HP_042,A,HostParasite,2689,"Allactaga major",Host,3,"Ctenophthalmus arvalis",Parasite,4,21,32,1,0.0938,0.1905,0.125,19,25,2
A_HP_032,A,HostParasite,2689,"Allactaga major",Host,1,"Ctenophthalmus arvalis",Parasite,7,14,13,0,0.0769,0.5,0.176,80,113,0
A_HP_013,A,HostParasite,2713,"Allactaga major",Host,6,"Echidnophaga oschanini",Parasite,5,11,22,1,0.2727,0.4545,0.426,274,882,2
A_HP_010,A,HostParasite,2713,"Allactaga major",Host,3,"Echidnophaga oschanini",Parasite,3,18,31,0,0.0968,0.1667,0.158,61,112,0
A_HP_050,A,HostParasite,2713,"Allactaga major",Host,1,"Echidnophaga oschanini",Parasite,4,27,35,0,0.0286,0.1481,0.239,62,24,0
A_HP_050,A,HostParasite,2884,"Allactaga major",Host,1,"Frontopsylla semura",Parasite,1,27,35,1,0.0286,0.037,0.239,62,62,62
A_HP_013,A,HostParasite,2884,"Allactaga major",Host,6,"Frontopsylla semura",Parasite,4,11,22,0,0.2727,0.3636,0.426,274,46,0
A_HP_022,A,HostParasite,2884,"Allactaga major",Host,3,"Frontopsylla semura",Parasite,2,16,18,0,0.1667,0.125,0.236,15,7,0
A_HP_010,A,HostParasite,2677,"Allactaga major",Host,3,"Mesopsylla hebes",Parasite,3,18,31,1,0.0968,0.1667,0.158,61,77,57
A_HP_013,A,HostParasite,2677,"Allactaga major",Host,6,"Mesopsylla hebes",Parasite,8,11,22,1,0.2727,0.7273,0.426,274,298,174
A_HP_022,A,HostParasite,2677,"Allactaga major",Host,3,"Mesopsylla hebes",Parasite,1,16,18,1,0.1667,0.0625,0.236,15,11,11
A_HP_029,A,HostParasite,2677,"Allactaga major",Host,3,"Mesopsylla hebes",Parasite,4,15,34,1,0.0882,0.2667,0.155,69,125,35
A_HP_032,A,HostParasite,2677,"Allactaga major",Host,1,"Mesopsylla hebes",Parasite,1,14,13,1,0.0769,0.0714,0.176,80,80,80
A_HP_042,A,HostParasite,2677,"Allactaga major",Host,3,"Mesopsylla hebes",Parasite,1,21,32,1,0.0938,0.0476,0.125,19,15,15
A_HP_013,A,HostParasite,2714,"Allactaga major",Host,6,"Mesopsylla lenis",Parasite,8,11,22,1,0.2727,0.7273,0.426,274,147,12
A_HP_010,A,HostParasite,2714,"Allactaga major",Host,3,"Mesopsylla lenis",Parasite,5,18,31,0,0.0968,0.2778,0.158,61,164,0
A_HP_042,A,HostParasite,2714,"Allactaga major",Host,3,"Mesopsylla lenis",Parasite,1,21,32,0,0.0938,0.0476,0.125,19,5,0
A_HP_013,A,HostParasite,2715,"Allactaga major",Host,6,"Mesopsylla tuschkan",Parasite,7,11,22,1,0.2727,0.6364,0.426,274,227,55
A_HP_010,A,HostParasite,2715,"Allactaga major",Host,3,"Mesopsylla tuschkan",Parasite,5,18,31,0,0.0968,0.2778,0.158,61,97,0
A_HP_022,A,HostParasite,2737,"Allactaga major",Host,3,"Neopsylla pleskei",Parasite,9,16,18,1,0.1667,0.5625,0.236,15,111,2
A_HP_029,A,HostParasite,2737,"Allactaga major",Host,3,"Neopsylla pleskei",Parasite,1,15,34,0,0.0882,0.0667,0.155,69,22,0
A_HP_032,A,HostParasite,2737,"Allactaga major",Host,1,"Neopsylla pleskei",Parasite,4,14,13,0,0.0769,0.2857,0.176,80,19,0
A_HP_042,A,HostParasite,2771,"Allactaga major",Host,3,"Neopsylla setosa",Parasite,4,21,32,1,0.0938,0.1905,0.125,19,18,2
A_HP_013,A,HostParasite,2771,"Allactaga major",Host,6,"Neopsylla setosa",Parasite,7,11,22,0,0.2727,0.6364,0.426,274,1780,0
A_HP_022,A,HostParasite,2771,"Allactaga major",Host,3,"Neopsylla setosa",Parasite,2,16,18,0,0.1667,0.125,0.236,15,4,0
A_HP_029,A,HostParasite,2771,"Allactaga major",Host,3,"Neopsylla setosa",Parasite,1,15,34,0,0.0882,0.0667,0.155,69,1367,0
A_HP_010,A,HostParasite,2696,"Allactaga major",Host,3,"Nosopsyllus consimilis",Parasite,7,18,31,1,0.0968,0.3889,0.158,61,43,2
A_HP_042,A,HostParasite,2696,"Allactaga major",Host,3,"Nosopsyllus consimilis",Parasite,1,21,32,0,0.0938,0.0476,0.125,19,3,0
A_HP_013,A,HostParasite,2718,"Allactaga major",Host,6,"Ophthalmopsylla volgensis",Parasite,7,11,22,1,0.2727,0.6364,0.426,274,80,1
A_HP_010,A,HostParasite,2718,"Allactaga major",Host,3,"Ophthalmopsylla volgensis",Parasite,7,18,31,0,0.0968,0.3889,0.158,61,77,0
A_HP_032,A,HostParasite,2718,"Allactaga major",Host,1,"Ophthalmopsylla volgensis",Parasite,1,14,13,0,0.0769,0.0714,0.176,80,2,0
A_HP_022,A,HostParasite,2738,"Allactaga major",Host,3,"Oropsylla ilovaiskii",Parasite,3,16,18,1,0.1667,0.1875,0.236,15,31,2
A_HP_013,A,HostParasite,2738,"Allactaga major",Host,6,"Oropsylla ilovaiskii",Parasite,7,11,22,0,0.2727,0.6364,0.426,274,870,0
A_HP_029,A,HostParasite,2738,"Allactaga major",Host,3,"Oropsylla ilovaiskii",Parasite,3,15,34,0,0.0882,0.2,0.155,69,1193,0
A_HP_042,A,HostParasite,2738,"Allactaga major",Host,3,"Oropsylla ilovaiskii",Parasite,1,21,32,0,0.0938,0.0476,0.125,19,3,0
A_HP_029,A,HostParasite,2757,"Allactaga major",Host,3,"Rhadinopsylla bivirgis",Parasite,3,15,34,1,0.0882,0.2,0.155,69,128,4
A_HP_010,A,HostParasite,2757,"Allactaga major",Host,3,"Rhadinopsylla bivirgis",Parasite,1,18,31,0,0.0968,0.0556,0.158,61,3,0
A_HP_013,A,HostParasite,2724,"Allactaga major",Host,6,"Xenopsylla skrjabini",Parasite,9,11,22,1,0.2727,0.8182,0.426,274,107110,30
A_HP_010,A,HostParasite,2724,"Allactaga major",Host,3,"Xenopsylla skrjabini",Parasite,2,18,31,0,0.0968,0.1111,0.158,61,2205,0
A_HP_050,A,HostParasite,2724,"Allactaga major",Host,1,"Xenopsylla skrjabini",Parasite,7,27,35,0,0.0286,0.2593,0.239,62,449,0
A_HP_010,A,HostParasite,2691,"Allactaga severtzovi",Host,3,"Mesopsylla eucta",Parasite,6,18,31,1,0.0968,0.3333,0.158,33,97,25
A_HP_046,A,HostParasite,2691,"Allactaga severtzovi",Host,3,"Mesopsylla eucta",Parasite,6,17,39,1,0.0769,0.3529,0.305,243,790,235
A_HP_010,A,HostParasite,2698,"Allactaga severtzovi",Host,3,"Ophthalmopsylla volgensis",Parasite,7,18,31,1,0.0968,0.3889,0.158,33,77,6
A_HP_046,A,HostParasite,2698,"Allactaga severtzovi",Host,3,"Ophthalmopsylla volgensis",Parasite,4,17,39,0,0.0769,0.2353,0.305,243,69,0
A_HP_046,A,HostParasite,2870,"Allactaga severtzovi",Host,3,"Xenopsylla conformis",Parasite,12,17,39,1,0.0769,0.7059,0.305,243,79362,3
A_HP_010,A,HostParasite,2870,"Allactaga severtzovi",Host,3,"Xenopsylla conformis",Parasite,5,18,31,0,0.0968,0.2778,0.158,33,360,0
A_HP_046,A,HostParasite,2871,"Allactaga severtzovi",Host,3,"Xenopsylla gerbilli",Parasite,12,17,39,1,0.0769,0.7059,0.305,243,282554,5
A_HP_010,A,HostParasite,2871,"Allactaga severtzovi",Host,3,"Xenopsylla gerbilli",Parasite,2,18,31,0,0.0968,0.1111,0.158,33,621,0
A_HP_025,A,HostParasite,2742,"Allactaga sibirica",Host,7,"Amphipsylla longispina",Parasite,6,18,40,1,0.175,0.3333,0.149,85,26,5
A_HP_047,A,HostParasite,2742,"Allactaga sibirica",Host,3,"Amphipsylla longispina",Parasite,5,11,26,0,0.1154,0.4545,0.35,105,35,0
A_HP_025,A,HostParasite,2743,"Allactaga sibirica",Host,7,"Frontopsylla elatoides",Parasite,2,18,40,1,0.175,0.1111,0.149,85,610,2
A_HP_024,A,HostParasite,2743,"Allactaga sibirica",Host,1,"Frontopsylla elatoides",Parasite,1,7,20,0,0.05,0.1429,0.279,2,83,0
A_HP_047,A,HostParasite,2743,"Allactaga sibirica",Host,3,"Frontopsylla elatoides",Parasite,8,11,26,0,0.1154,0.7273,0.35,105,336,0
A_HP_025,A,HostParasite,2744,"Allactaga sibirica",Host,7,"Frontopsylla hetera",Parasite,8,18,40,1,0.175,0.4444,0.149,85,327,3
A_HP_024,A,HostParasite,2744,"Allactaga sibirica",Host,1,"Frontopsylla hetera",Parasite,4,7,20,0,0.05,0.5714,0.279,2,969,0
A_HP_047,A,HostParasite,2744,"Allactaga sibirica",Host,3,"Frontopsylla hetera",Parasite,8,11,26,0,0.1154,0.7273,0.35,105,221,0
A_HP_047,A,HostParasite,2877,"Allactaga sibirica",Host,3,"Frontopsylla luculenta",Parasite,1,11,26,1,0.1154,0.0909,0.35,105,12,12
A_HP_024,A,HostParasite,2877,"Allactaga sibirica",Host,1,"Frontopsylla luculenta",Parasite,1,7,20,0,0.05,0.1429,0.279,2,2,0
A_HP_025,A,HostParasite,2745,"Allactaga sibirica",Host,7,"Frontopsylla wagneri",Parasite,1,18,40,1,0.175,0.0556,0.149,85,33,33
A_HP_047,A,HostParasite,2745,"Allactaga sibirica",Host,3,"Frontopsylla wagneri",Parasite,1,11,26,1,0.1154,0.0909,0.35,105,72,72
A_HP_010,A,HostParasite,2693,"Allactaga sibirica",Host,5,"Mesopsylla hebes",Parasite,3,18,31,1,0.1613,0.1667,0.158,57,77,17
A_HP_032,A,HostParasite,2693,"Allactaga sibirica",Host,1,"Mesopsylla hebes",Parasite,1,14,13,0,0.0769,0.0714,0.176,2,80,0
A_HP_025,A,HostParasite,2746,"Allactaga sibirica",Host,7,"Neopsylla mana",Parasite,6,18,40,1,0.175,0.3333,0.149,85,424,3
A_HP_024,A,HostParasite,2746,"Allactaga sibirica",Host,1,"Neopsylla mana",Parasite,5,7,20,0,0.05,0.7143,0.279,2,4601,0
